-	mapped_CRC001_H_single.sam	mapped_CRC001_T_single.sam	mapped_CRC002_H_single.sam	mapped_CRC002_T_single.sam	mapped_CRC003_H_single.sam	mapped_CRC003_T_single.sam	mapped_CRC004_H_single.sam	mapped_CRC004_T_single.sam	mapped_CRC005_H_single.sam	mapped_CRC005_T_single.sam	mapped_CRC006_H_single.sam	mapped_CRC006_T_single.sam	mapped_CRC007_H_single.sam	mapped_CRC007_T_single.sam	mapped_CRC009_H_single.sam	mapped_CRC009_T_single.sam	mapped_CRC010_H_single.sam	mapped_CRC010_T_single.sam	mapped_CRC011_H_single.sam	mapped_CRC011_T_single.sam	mapped_CRC012_H_single.sam	mapped_CRC012_T_single.sam	mapped_CRC013_H_single.sam	mapped_CRC013_T_single.sam
NODE_3421_length_1004_cov_1.01581	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_16093_length_1160_cov_1.5629	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NODE_16494_length_858_cov_1.42092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0
NODE_16829_length_829_cov_1.91085	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NODE_17246_length_1014_cov_1.34828	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0
NODE_17614_length_858_cov_1.03985	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_19073_length_891_cov_1.4677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
NODE_19558_length_1018_cov_1.24818	0	0	0	0	0	0	0	0	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0
NODE_19675_length_1107_cov_1.47909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
NODE_20410_length_1113_cov_1.6966	0	0	0	0	3	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
NODE_20541_length_894_cov_1.9261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0
NODE_20774_length_873_cov_1.32274	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_21111_length_813_cov_1.47625	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
NODE_21113_length_835_cov_1.39744	20	7	0	3	5	2	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	1	1	0
NODE_21809_length_875_cov_1.95732	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0
NODE_22010_length_926_cov_1.92308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
NODE_22112_length_829_cov_1.02455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NODE_22538_length_808_cov_2.05445	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
NODE_22696_length_872_cov_1.03427	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_22800_length_1021_cov_1.68219	0	0	0	0	2	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	3	0	0	0
NODE_23572_length_839_cov_1.59056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	1	0	0	0	0	0
NODE_23791_length_841_cov_1.50254	1	3	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
NODE_24115_length_831_cov_1.11985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
NODE_24343_length_915_cov_1.54419	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1
NODE_24393_length_828_cov_1.21345	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NODE_24455_length_812_cov_1.27081	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_24765_length_960_cov_1.56685	0	0	0	0	4	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NODE_24972_length_850_cov_1.36855	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
NODE_24992_length_891_cov_2.64115	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NODE_25124_length_861_cov_0.822581	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
